"";"pos_dist_m";"gps_lon";"gps_lat";"velocity_kmh";"acc_lat"
"245";41,2;11,6485219;48,0838286;35,492;-0,04
"246";42,2;11,6485137;48,0838358;35,856;0,05
"247";43,2;11,6485055;48,083843;36,043;0
"248";44,2;11,6484973;48,0838503;36,508;-0,02
"249";45,2;11,6484889;48,0838576;36,81;0,04
"250";46,2;11,6484804;48,0838649;37,13;0,04
"251";47,3;11,648472;48,0838724;37,267;-0,08
"252";48,3;11,6484634;48,0838799;37,627;0,05
"253";49,3;11,6484548;48,0838874;37,847;0
"254";50,4;11,6484461;48,083895;38,149;-0,01
"255";51,5;11,6484373;48,0839027;38,488;0
"256";52,5;11,6484286;48,0839104;38,653;-0,03
"257";53,6;11,6484198;48,0839181;38,93;0
"258";54,7;11,6484108;48,0839258;38,981;0,12
